seed,model,group,correct,count,rate
2,trivial-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,20,20,1.0
2,trivial-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
2,trivial-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,12,12,1.0
2,full-product-f3-mcfg,normal-all,8,20,0.4
2,full-product-f3-mcfg,normal-seen-size,8,8,1.0
2,full-product-f3-mcfg,normal-unseen-size,0,12,0.0
2,full-product-f3-mcfg,fault:currency-server-phase-inversion:all,20,20,1.0
2,full-product-f3-mcfg,fault:currency-server-phase-inversion:seen-size,8,8,1.0
2,full-product-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,12,12,1.0
2,full-product-f3-mcfg,fault:drop-product-currency-server-occurrence:all,16,16,1.0
2,full-product-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
2,full-product-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,12,12,1.0
2,full-product-f3-mcfg,fault:drop-product-server-occurrence:all,16,16,1.0
2,full-product-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
2,full-product-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,12,12,1.0
2,full-product-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,20,20,1.0
2,full-product-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
2,full-product-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,12,12,1.0
2,full-product-f3-mcfg,fault:duplicate-product-server-occurrence:all,20,20,1.0
2,full-product-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
2,full-product-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,12,12,1.0
2,full-product-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,20,20,1.0
2,full-product-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
2,full-product-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,12,12,1.0
2,exact-template,normal-all,8,20,0.4
2,exact-template,normal-seen-size,8,8,1.0
2,exact-template,normal-unseen-size,0,12,0.0
2,exact-template,fault:currency-server-phase-inversion:all,20,20,1.0
2,exact-template,fault:currency-server-phase-inversion:seen-size,8,8,1.0
2,exact-template,fault:currency-server-phase-inversion:unseen-size,12,12,1.0
2,exact-template,fault:drop-product-currency-server-occurrence:all,16,16,1.0
2,exact-template,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
2,exact-template,fault:drop-product-currency-server-occurrence:unseen-size,12,12,1.0
2,exact-template,fault:drop-product-server-occurrence:all,16,16,1.0
2,exact-template,fault:drop-product-server-occurrence:seen-size,4,4,1.0
2,exact-template,fault:drop-product-server-occurrence:unseen-size,12,12,1.0
2,exact-template,fault:duplicate-product-currency-server-occurrence:all,20,20,1.0
2,exact-template,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
2,exact-template,fault:duplicate-product-currency-server-occurrence:unseen-size,12,12,1.0
2,exact-template,fault:duplicate-product-server-occurrence:all,20,20,1.0
2,exact-template,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
2,exact-template,fault:duplicate-product-server-occurrence:unseen-size,12,12,1.0
2,exact-template,fault:duplicate-shipping-currency-server-occurrence:all,20,20,1.0
2,exact-template,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
2,exact-template,fault:duplicate-shipping-currency-server-occurrence:unseen-size,12,12,1.0
2,2-gram,normal-all,12,20,0.6
2,2-gram,normal-seen-size,8,8,1.0
2,2-gram,normal-unseen-size,4,12,0.3333333333333333
2,2-gram,fault:currency-server-phase-inversion:all,20,20,1.0
2,2-gram,fault:currency-server-phase-inversion:seen-size,8,8,1.0
2,2-gram,fault:currency-server-phase-inversion:unseen-size,12,12,1.0
2,2-gram,fault:drop-product-currency-server-occurrence:all,8,16,0.5
2,2-gram,fault:drop-product-currency-server-occurrence:seen-size,0,4,0.0
2,2-gram,fault:drop-product-currency-server-occurrence:unseen-size,8,12,0.6666666666666666
2,2-gram,fault:drop-product-server-occurrence:all,8,16,0.5
2,2-gram,fault:drop-product-server-occurrence:seen-size,0,4,0.0
2,2-gram,fault:drop-product-server-occurrence:unseen-size,8,12,0.6666666666666666
2,2-gram,fault:duplicate-product-currency-server-occurrence:all,8,20,0.4
2,2-gram,fault:duplicate-product-currency-server-occurrence:seen-size,0,8,0.0
2,2-gram,fault:duplicate-product-currency-server-occurrence:unseen-size,8,12,0.6666666666666666
2,2-gram,fault:duplicate-product-server-occurrence:all,8,20,0.4
